solution_EF;solution_PBDW;solution_PBDW_eta;solution_PBDW_z
0.23316;0.23316;-3.7075e-08;0.23316
0.22931;0.22931;-2.2705e-08;0.22931
0.22557;0.22557;-1.205e-08;0.22557
0.22196;0.22196;-4.9308e-09;0.22196
0.21848;0.21848;-1.4048e-09;0.21848
0.21514;0.21514;-1.8511e-09;0.21514
0.21197;0.21197;-6.2758e-09;0.21197
0.20898;0.20898;-1.4796e-08;0.20898
0.20613;0.20613;-2.7867e-08;0.20613
0.20351;0.20351;-4.4819e-08;0.20351
0.20109;0.20109;-6.5793e-08;0.20109
0.1989;0.1989;-9.0255e-08;0.1989
0.19695;0.19695;-1.1774e-07;0.19695
0.19528;0.19528;-1.469e-07;0.19528
0.19392;0.19392;-1.7553e-07;0.19392
0.1929;0.1929;-2.0082e-07;0.1929
0.19225;0.19225;-2.1805e-07;0.19225
0.19214;0.19214;-2.3022e-07;0.19214
0.19251;0.19251;-2.4617e-07;0.19251
0.19311;0.19311;-2.6531e-07;0.19311
0.19394;0.19394;-2.7348e-07;0.19394
0.195;0.195;-2.5415e-07;0.195
0.19633;0.19633;-2.0387e-07;0.19633
0.19787;0.19787;-1.3745e-07;0.19787
0.19964;0.19964;-6.9997e-08;0.19964
0.20163;0.20163;-8.5635e-09;0.20163
0.20389;0.20389;4.3878e-08;0.20389
0.20639;0.20639;8.3606e-08;0.20639
0.20911;0.20911;1.0615e-07;0.20911
0.21206;0.21206;1.0901e-07;0.21206
0.21524;0.21524;9.3861e-08;0.21524
0.21864;0.21864;6.5338e-08;0.21864
0.22226;0.22226;2.6623e-08;0.22226
0.22612;0.22612;-2.0456e-08;0.22612
0.23018;0.23018;-7.7594e-08;0.23018
0.23451;0.23451;-1.4317e-07;0.23451
0.23902;0.23902;-2.1617e-07;0.23902
0.24375;0.24375;-2.8373e-07;0.24375
0.24868;0.24868;-3.2744e-07;0.24868
0.25377;0.25377;-3.3844e-07;0.25377
0.25914;0.25914;-3.1624e-07;0.25914
0.26467;0.26467;-2.8539e-07;0.26467
0.27037;0.27037;-2.5556e-07;0.27037
0.27624;0.27624;-2.3005e-07;0.27624
0.28229;0.28229;-2.0781e-07;0.28229
0.2885;0.2885;-1.8721e-07;0.2885
0.29482;0.29482;-1.6718e-07;0.29482
0.30132;0.30132;-1.4723e-07;0.30132
0.30788;0.30788;-1.2718e-07;0.30788
0.31455;0.31455;-1.0723e-07;0.31455
0.32132;0.32132;-8.7559e-08;0.32132
0.32812;0.32812;-6.8509e-08;0.32812
0.33494;0.33494;-5.0318e-08;0.33494
0.34174;0.34174;-3.3092e-08;0.34174
0.34849;0.34849;-1.6843e-08;0.34849
0.35518;0.35518;-1.2592e-09;0.35518
0.36173;0.36173;1.3983e-08;0.36173
0.36807;0.36807;2.9288e-08;0.36807
0.37419;0.37419;4.4729e-08;0.37419
0.37999;0.37999;6.0032e-08;0.37999
0.3854;0.3854;7.4569e-08;0.3854
0.39031;0.39031;8.771e-08;0.39031
0.39464;0.39464;9.9064e-08;0.39464
0.39827;0.39827;1.082e-07;0.39827
0.40107;0.40107;1.1497e-07;0.40107
0.40287;0.40287;1.1901e-07;0.40287
0.3399;0.3399;-1.1603e-09;0.3399
0.45766;0.45766;2.5862e-07;0.45766
0.34474;0.34474;4.5699e-08;0.34474
0.36238;0.36238;7.7438e-08;0.36238
0.24984;0.24984;1.4552e-07;0.24984
0.40984;0.40984;-9.7704e-08;0.40984
0.28215;0.28215;5.2075e-08;0.28214
0.43107;0.43107;-1.0122e-07;0.43107
0.28456;0.28456;-1.5016e-07;0.28456
0.52733;0.52733;-3.935e-08;0.52733
0.35739;0.35739;-9.6762e-09;0.35739
0.38335;0.38335;1.2499e-07;0.38335
0.21363;0.21363;8.1373e-08;0.21363
0.39543;0.39543;2.3964e-08;0.39543
0.32239;0.32239;7.5953e-08;0.32239
0.36914;0.36914;-5.1425e-08;0.36914
0.29327;0.29327;-3.1069e-08;0.29327
0.46833;0.46833;1.5847e-07;0.46833
0.30907;0.30907;-5.4098e-08;0.30907
0.42161;0.42161;1.2469e-07;0.42161
0.24065;0.24065;1.5692e-07;0.24065
0.48636;0.48636;-1.5451e-07;0.48636
0.39022;0.39022;-2.3688e-09;0.39022
0.31851;0.31851;-1.3332e-07;0.31851
0.2443;0.2443;4.6692e-08;0.24429
0.36611;0.36611;-1.5489e-08;0.36611
0.41663;0.41663;1.2995e-08;0.41663
0.28736;0.28736;1.6702e-07;0.28736
0.32145;0.32145;-1.4928e-07;0.32145
0.44272;0.44272;7.9233e-08;0.44272
0.27989;0.27989;-1.6939e-07;0.27989
0.45501;0.45501;-2.1021e-07;0.45501
0.26124;0.26124;-1.574e-07;0.26124
0.50949;0.50949;1.7429e-07;0.50949
0.33046;0.33046;-2.0136e-08;0.33046
0.41475;0.41475;2.2929e-07;0.41475
0.21821;0.21821;1.4476e-07;0.21821
